title;description;longitud;latitud;Name of Photo;URL Institution;URL_Photo
UNESCO Regional Office for Southern Africa (UNESCO ROSA);Chimanimani Project Region;31,077537;-17,8905989;Chimanimani_OWASA project region;;C:/Users/dakno/OneDrive/Escritorio/ITT_Job/OWASA/Monitor/OWASA_Gallery/1 Chimanimani District_OWASA project region.jpg
Chikukwa Ecological Land Use Community Trust (CELUCT Trust);OWASA team is visiting CELUCT;32,939817;-19,711948;CELUCT Chikukwa Permaculture Training Centre  OWASA team is visiting CELUCT, April 2022 ;https://www.google.com/maps/place/Chikukwa+Ecological+Land+Use+Community+Trust/@-19.6164664,32.2833079,10.5z/data=!4m12!1m6!3m5!1s0x0:0xb1e59f1806c595a3!2sChikukwa+Ecological+Land+Use+Community+Trust!8m2!3d-19.7134651!4d32.9451442!3m4!1s0x0:0xb1e59f1806c595a3!8m2!3d-19.7134651!4d32.9451442 ;C:/Users/dakno/OneDrive/Escritorio/ITT_Job/OWASA/Monitor/OWASA_Gallery/2 OWASA team is visiting CELUCT_ April 2022
Participatory Organic Research & Extension Trust (PORET Trust);OWASA team visiting PORET;32,32148;-19,3714;OWASA team is visiting PORET, April 2022;https://www.poret.org/contact;C:/Users/dakno/OneDrive/Escritorio/ITT_Job/OWASA/Monitor/OWASA_Gallery/3 OWASA team is visiting PORET_April 2022.jpg
Towards Sustainable Use of Resources Organisation (TSURO Trust);Visit TSURO Trust;32,869644;-19,801907;Visit by TSURO Trust April 2022;http://www.tsurotrust.org/?fbclid=IwAR0Jk8cDUfP5Rln-JYB5zocU28jSvwtfWWr1KWXItFaVAdOcvCmBc3brQvo;C:/Users/dakno/OneDrive/Escritorio/ITT_Job/OWASA/Monitor/OWASA_Gallery/4 Visit by TSURO Trust April 2022.jpg
University of Zimbabwe, Department of Construction & Civil Engineering;OWASA Workshop University of Zimbabwe;31,056449;-17,790081;OWASA Workshop_University of Zimbabwe_April 2022;;C:/Users/dakno/OneDrive/Escritorio/ITT_Job/OWASA/Monitor/OWASA_Gallery/5 OWASA Workshop_University of Zimbabwe_April 2022.jpg
Waterberg District Municipality;Stakeholder Workshop in Waterberg;28,406708;-24,702816;OWASA Stakeholder Workshop in Waterberg, April 2022;;C:/Users/dakno/OneDrive/Escritorio/ITT_Job/OWASA/Monitor/OWASA_Gallery/6 OWASA Stakeholderworkshop Waterberg.jpeg
