title;description;longitud;latitud
Zimbabwe National Water Authority, (ZINWA);;31,076614;-17,78601582
Waterberg Biosphere Reserve;Stakeholder Workshop in Waterberg;28,122741;-24,297348
The Department of Water and Sanitation;Stakeholder Workshop in Waterberg;28,187183;-25,749471
University of Limpopo, Department Water and Sanitation ;Stakeholder Workshop in Waterberg;29,711519;-23,883215
Institute for Technology and Resources Management in the Tropics and Subtropics (ITT), TH Köln-University of Applied Sciences;;6,988472;50,935086
Institute of Applied Geosciences, Technical University Darmstadt;;8,681331;49,862222
